$26.3(175,180) 98 99 100 101 
$2.2(238,242) 113 114 115 116 
$17.8(422,427) 148 149 150 151 
$2.2(514,518) 168 169 170 171 
$2.0(631,635) 191 192 193 194 
$0.1(727,731) 212 213 214 215 
$2.1(936,940) 256 257 258 259 
$0.0(1057,1061) 283 284 285 286 
$3.5(1161,1165) 305 306 307 308 
$3.2(1188,1192) 312 313 314 315 
$3.4(1405,1409) 353 354 355 356 
$26.3(1499,1504) 375 376 377 378 
$11.1(2072,2077) 489 490 491 492 
$9.3(2227,2231) 524 525 526 527 
$4.8(2373,2377) 558 559 560 561 
$1.0(2405,2409) 567 568 569 570 
$5.6(2516,2520) 589 590 591 592 
$4.4(2765,2769) 639 640 641 642 
$8.6(4072,4076) 851 852 853 854 
$4.2(4196,4200) 876 877 878 879 
$17.8(4249,4254) 887 888 889 890 
$7.1(4642,4646) 961 962 963 964 
 44.6(5440,5445) 
 44.1(5494,5499) 
$6.9(5586,5590) 1140 1141 1142 1143 
$5.6(5672,5676) 1161 1162 1163 1164 
 28.0(6331,6336) 
 29.5(6358,6363) 
$3.5(6703,6707) 1366 1367 1368 1369 
$2.3(6720,6724) 1373 1374 1375 1376 
$3.2(6902,6906) 1408 1409 1410 1411 
$1.9(6919,6923) 1415 1416 1417 1418 
$1.4(7159,7163) 1459 1460 1461 1462 
 1.5(7290,7294) 
 1.6(7317,7321) 
$91.4(7412,7417) 1512 1513 1514 1515 
$9.4(7515,7519) 1532 1533 1534 1535 
$6.0(7630,7634) 1558 1559 1560 1561 
$15.3(7784,7789) 1590 1591 1592 1593 
$2.2(7802,7806) 1597 1598 1599 1600 
$6.0(7917,7921) 1616 1617 1618 1619 
$4.9(7937,7941) 1622 1623 1624 1625 
$0.4(7992,7996) 1635 1636 1637 1638 
$0.7(8138,8142) 1669 1670 1671 1672 
$9.4(8287,8291) 1699 1700 1701 1702 
$8.0(8315,8319) 1707 1708 1709 1710 
$1.7(8627,8631) 1768 1769 1770 1771 
$1.1(8655,8659) 1777 1778 1779 1780 
$91.4(8983,8988) 1839 1840 1841 1842 
$91.1(9068,9073) 1855 1856 1857 1858 
$2.9(9122,9126) 1868 1869 1870 1871 
$39.5(9378,9383) 1918 1919 1920 1921 
$30.5(9541,9546) 1955 1956 1957 1958 
$17.6(9713,9718) 1994 1995 1996 1997 
$3.9(9746,9750) 2003 2004 2005 2006 
$18.2(9839,9844) 2022 2023 2024 2025 
$32.3(9977,9982) 2050 2051 2052 2053 
$16.0(10129,10134) 2081 2082 2083 2084 
$22.0(10216,10221) 2104 2105 2106 2107 
$2.4(10327,10331) 2128 2129 2130 2131 
$9.5(10451,10455) 2157 2158 2159 2160 
$6.1(10468,10472) 2164 2165 2166 2167 
$7.9(10632,10636) 2196 2197 2198 2199 
$4.8(10649,10653) 2203 2204 2205 2206 
$10.7(10870,10875) 2247 2248 2249 2250 
$15.3(11010,11015) 2277 2278 2279 2280 
$2.2(11041,11045) 2286 2287 2288 2289 
$9.2(11828,11832) 2425 2426 2427 2428 
$0.3(11871,11875) 2435 2436 2437 2438 
$9.5(11920,11924) 2446 2447 2448 2449 
$8.0(12150,12154) 2489 2490 2491 2492 
 1.5(12248,12252) 
 1.6(12275,12279) 
 1.5(12340,12344) 
$22.7(12432,12437) 2549 2550 2551 2552 
$22.6(12461,12466) 2557 2558 2559 2560 
 1.5(12582,12586) 
$1.8(12651,12655) 2601 2602 2603 2604 
$22.3(12697,12702) 2615 2616 2617 2618 
 6.9(12750,12754) 
